N_total,median_error,log10_median_error
10000,0.005981887425258517,-2.2231617643319606
50000,0.0017594090067313817,-2.7546331891279245
100000,0.0014746194368959148,-2.8313200459781473
500000,7.892004736431362E-4,-3.102812662775474
1000000,5.731658392235075E-4,-3.2417197015245685
5000000,1.499410145535261E-4,-3.824079554891085
10000000,5.737649965123313E-5,-4.241265950138885
